rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr,st_tefflim,st_teffblend,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,hd_name,hip_name,pl_name,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_disc,pl_status,pl_mnum,pl_pelink,pl_edelink,st_plx,st_plxerr,st_plxlim,st_plxblend,st_pmra,st_pmraerr,st_pmralim,st_pmdec,st_pmdecerr,st_pmdeclim,st_sp,st_spstr,st_sperr,st_splim,st_spblend
31,CT Cha,b,Imaging,1,,,,,,,,,17,6,-6,0,2.2,0.81,-0.6,0,,,,,,,,,11h04m09.09s,166.037872,-76d27m19.4s,-76.455383,165,30,-30,0,,,,,,,,,,,,,,,CT Cha b,0,0,1,0,0,0,5403,1907,-1907,0,24.66,9.08,-6.73,0,,,,,2007,3,0,http://exoplanet.eu/catalog/ct_cha_b/,,,,,0,,,,,,,,,,,
32,DH Tau,b,Imaging,1,,,,,,,,,11,10,-3,0,,,,,,,,,,,,,04h29m41.56s,67.423157,+26d32m58.3s,26.54952,140,15,-15,0,,,,,0.33,,0,0,0.27,0.07,0,0,,,DH Tau b,0,0,1,0,0,0,3496,3178,-953,0,,,,,,,,,2004,3,0,http://exoplanet.eu/catalog/dh_tau_b/,,,,,0,,,,,,,6.05,M0.5,,0,0
33,DP Leo,b,Eclipse Timing Variations,1,10220,730,-730,0,0.39,0.13,-0.13,0,,,,,,,,,,,,,,,,,11h17m16.00s,169.316667,+17d57m41.1s,17.961417,,,,,,,,,0.69,,0,0,,,,,,,DP Leo b,0,0,0,0,0,1,,,,,,,,,,,,,2009,3,0,http://exoplanet.eu/catalog/dp_leo_b/,,,,,,,,,,,,,,,,
34,FU Tau,b,Imaging,1,,,,,,,,,15.711,,,0,,,,,,,,,,,,,04h23m35.74s,65.898911,+25d02m59.6s,25.049898,,,,,,,,,,,,,,,,,,,FU Tau b,0,0,1,0,0,0,4993.107,,,0,,,,,,,,,2008,3,0,http://exoplanet.eu/catalog/fu_tau_b/,,,,,,,,,,,,,,,,
35,GQ Lup,b,Imaging,1,,,,,,,,,20,,,0,3,0.5,-0.5,0,,,,,,,,,15h49m12.10s,237.30043,-35d39m05.1s,-35.651421,139,45,-45,0,,,,,0.7,,0,0,,,,,,,GQ Lup b,0,0,1,0,0,0,6356,,,0,33.6,5.6,-5.6,0,,,,,2004,3,0,http://exoplanet.eu/catalog/gq_lup_b/,,,,,0,,,,,,,5.7,K7e V,,0,0
36,GU Psc,b,Imaging,1,,,,,,,,,11.3,1.7,-1.7,0,1.265,0.115,-0.115,0,,,,,,,,,01h12m35.04s,18.146006,+17d03m55.7s,17.065475,48,5,-5,0,,,,,0.33,0.03,0,0,,,,,,,GU Psc b,0,0,1,0,0,0,3591.3,540.3,-540.3,0,14.179,1.289,-1.289,0,,,,,2014,3,0,http://exoplanet.eu/catalog/gu_psc_b/,,,,,0,,,,,,,6.3,M3,,0,0
37,HN Peg,b,Imaging,1,,,,,,,,,21.9987,9.42803,-9.42803,0,1.051,0.136,-0.058,0,,,,,,,,,21h44m31.33s,326.130554,+14d46m19.0s,14.771939,18.39,0.28,-0.29,0,,,,,,,,,,,,,HD 206860,HIP 107350,HN Peg b,0,0,1,0,0,0,6991.57,2996.39,-2996.39,0,11.777,1.527,-0.654,0,,,,,2006,3,0,http://exoplanet.eu/catalog/hn_peg_b/,,54.37,0.85,0,0,231.2,1.2,0,-113.9,1.1,0,4,G0 IV-V,,0,0
38,NN Ser,c,Eclipse Timing Variations,2,5573.55,102.2,-102.2,0,0.08,0.05,-0.05,0,7.33,0.31,-0.31,0,,,,,,,,,,,,,15h52m56.13s,238.233871,+12d54m44.7s,12.912411,500,,,0,57000,,0,0,0.54,,0,0,,,,,,,NN Ser c,0,0,0,0,0,1,2329.6,98.52,-98.52,0,,,,,,,,,2010,3,0,http://exoplanet.eu/catalog/nn_ser_(ab)_c/,http://exoplanets.org/detail/NN_Ser_c,,,,0,,,,,,,,WD,,0,0
39,NN Ser,d,Eclipse Timing Variations,2,2883.5,182.5,-182.5,0,0.19,0.05,-0.05,0,2.3,0.5,-0.5,0,,,,,,,,,,,,,15h52m56.13s,238.233871,+12d54m44.7s,12.912411,500,,,0,57000,,0,0,0.54,,0,0,,,,,,,NN Ser d,0,0,0,0,0,1,731,158.9,-158.9,0,,,,,,,,,2010,3,0,http://exoplanet.eu/catalog/nn_ser_(ab)_d/,http://exoplanets.org/detail/NN_Ser_d,,,,0,,,,,,,,WD,,0,0
40,NY Vir,b,Eclipse Timing Variations,1,2985.7,65.7,-65.7,0,0.44,0.17,-0.17,0,,,,,,,,,,,,,,,,,13h38m48.15s,204.700623,-02d01m49.1s,-2.030315,,,,,,,,,,,,,,,,,,,NY Vir b,0,0,0,0,0,1,,,,,,,,,,,,,2011,3,0,http://exoplanet.eu/catalog/ny_vir_b/,,,,,,,,,,,,,,,,
